t	3	4	5	6	8	10
1	26		77		142		177		294		196	
2	18		29		59		99		148		113	
3	26		43		84		160		199		143	
4	36		69		125		200		264		178	
5	34		62		129		165		196		111	
6	25		46		86		142		215		155	
7	27		43		101		176		242		169	
8	20		42		94		111		157		122	
9	33		70		132		184		263		152	
10	34		64		138		192		283		158	
11	21		40		101		156		197		143	
12	44		82		150		263		327		206	
13	55		107		218		442		558		296	
14	36		75		163		274		386		225	
15	23		53		149		188		332		237	
16	38		65		113		219		223		121	
17	32		46		100		185		223		134	
18	28		53		118		167		238		140	
19	35		68		137		175		238		128	
20	38		78		146		235		278		153	
