ik	2	3	4	6
8/20	1.09551	1.38135	1.42904	1.53828
7/20	1.22529	1.45294	1.44766	1.53769
6/20	1.3211	1.48147	1.47681	1.55783
5/20	1.42753	1.61491	1.55222	1.47619
