t	3	4	5	6	8	10
1	30		50		41		40		47		14	
2	30		52		48		54		47		15	
3	61		147		196		314		247		102	
4	36		53		48		50		36		12	
5	14		17		18		21		9		4	
6	29		39		34		37		16		6	
7	14		18		18		22		20		10	
8	77		130		187		280		185		107	
9	23		41		41		40		22		8	
10	39		77		70		91		73		46	
11	23		40		40		39		22		8	
12	19		28		28		29		13		6	
13	15		23		23		24		11		5	
14	122		293		447		477		401		153	
15	8		19		32		32		28		19	
16	26		41		42		46		39		16	
17	19		24		24		32		19		7	
18	38		54		50		59		26		10	
19	17		26		24		29		27		13	
20	50		129		229		224		197		85	
