t	70	90	110	130
1	235		684		1687		3601	
2	242		691		1683		3604	
3	235		685		1671		3555	
4	237		689		1673		3625	
5	239		680		1674		3616	
6	241		683		1673		3597	
7	238		688		1679		3626	
8	265		685		1680		3590	
9	237		687		1683		3611	
10	237		678		1677		3598	
11	239		686		1706		3679	
12	237		675		1684		3669	
13	240		678		1666		3689	
14	239		682		1654		3609	
15	239		681		1666		3585	
16	237		676		1671		3594	
17	239		683		1668		3591	
18	239		698		1643		3589	
19	240		682		1647		3592	
20	239		690		1650		3586	
