t	70	80	90	100
0	1.53101	1.51538	1.50082	1.53944
1	1.80514	1.71163	1.51239	1.48282
2	1.57589	1.67128	1.54375	1.44557
3	1.36221	1.67665	1.63394	1.45186
4	1.69418	1.69637	1.58255	1.56387
5	1.64246	1.66672	1.5497	1.39162
6	1.7187	1.60326	1.58267	1.52525
7	1.7566	1.65969	1.51058	1.58652
8	1.8256	1.77022	1.49745	1.52941
9	1.67757	1.87445	1.47194	1.48876
