t	8/20	7/20	6/20	5/20
0	1.57051	1.5103	1.56204	1.55333
1	1.40664	1.48609	1.4769	1.45225
2	1.3405	1.37066	1.34172	1.53682
3	1.4479	1.36137	1.35959	1.46406
4	1.46915	1.48903	1.48729	1.51243
5	1.32392	1.45094	1.3752	1.33104
6	1.66945	1.48454	1.54223	1.5329
7	1.69421	1.61485	1.47661	1.54217
8	1.33954	1.457	1.34277	1.51614
9	1.52253	1.54194	1.51592	1.65165
