t	8/20	7/20	6/20	5/20
0	1.87667	1.83521	1.99453	1.88207
1	1.97301	1.80428	2.10699	1.87901
2	2.06036	2.03957	1.98025	1.98728
3	1.93603	2.02493	2.0295	2.08627
4	2.05492	1.90122	1.94248	1.97902
5	1.91734	1.92302	1.91882	1.94742
6	1.96819	1.63856	2.01864	1.90047
7	2.05925	1.93041	1.95878	1.91894
8	1.86326	1.95914	2.00684	1.92591
9	1.90157	1.86437	1.83936	1.70664
