t	8/20	7/20	6/20	5/20
0	0.891719	0.962368	1.03923	1.10801
1	0.978722	0.95518	1.06104	1.14373
2	0.846725	0.992368	1.04761	1.10129
3	0.853143	0.920671	1.00324	1.10046
4	0.81609	0.901859	0.943486	1.01928
5	0.910812	1.00867	1.08388	1.18598
6	0.952827	0.934353	0.995729	1.08264
7	0.936266	0.983577	1.01868	1.12047
8	0.929634	0.991263	1.04779	1.08579
9	0.963729	1.06944	1.14264	1.2002
