t	8/20	7/20	6/20	5/20
0	1.48878	1.4953	1.4953	1.50065
1	1.33944	1.3318	1.41862	1.4097
2	1.44065	1.44571	1.42319	1.43168
3	1.40805	1.41161	1.41968	1.44324
4	1.42961	1.39175	1.39516	1.40183
5	1.36962	1.37224	1.37047	1.39988
6	1.52588	1.41011	1.39722	1.41227
7	1.37689	1.27618	1.34117	1.36626
8	1.28016	1.33178	1.3674	1.3738
9	1.38463	1.43222	1.47888	1.46068
