t	3	4	5	6	8	10
1	112		98		95		95		89		57	
2	122		164		130		106		107		65	
3	111		84		92		99		72		32	
4	160		90		94		92		87		68	
5	120		102		97		80		93		100	
6	178		86		102		67		49		53	
7	104		88		86		91		57		51	
8	100		92		81		76		85		72	
9	98		127		108		79		103		69	
10	93		86		63		74		74		65	
11	92		115		111		100		67		50	
12	98		76		68		76		86		103	
13	208		133		131		136		116		118	
14	115		94		121		104		95		95	
15	128		98		117		88		56		46	
16	158		108		117		93		113		109	
17	146		91		95		52		79		70	
18	109		79		88		74		44		77	
19	111		82		72		57		72		61	
20	119		101		94		87		89		94	
