t	8/20	7/20	6/20	5/20
0	1	1	1	0.4
1	0.48	0.48	0.48	0.48
2	1	1	1	1
3	1	1	1	1
4	0.962963	1	1	0.7
5	1	1	1	0.363636
6	0.219512	0.219512	0.219512	0.219512
7	0.727273	0.75	0.78125	0.405405
8	0.836207	0.875	0.915888	0.780488
9	0.451613	0.451613	0.516129	0.532258
10	1	1	1	0.582278
11	0.526316	0.526316	0.526316	0.678571
12	0.834711	0.878261	0.834711	0.834646
13	1	1	1	0.615385
14	0.722222	0.733333	0.733333	0.669903
15	0.412281	0.474747	0.412281	0.421053
16	0.810811	0.659341	0.659341	0.703297
17	0.591304	1	0.591304	0.6
18	0.885714	0.885714	0.885714	0.673913
19	1	1	0.459459	0.243243
