t	8/20	7/20	6/20	5/20
0	0.37037	0.42328	0.565476	0.672619
1	0.0566038	0.05	0.0410959	0.05
2	0.254098	0.254098	0.262295	0.56338
3	0.378641	0.293233	0.293233	0.378641
4	0.411765	0.1375	0.141026	0.1375
5	0.263158	0.263158	0.625	0.625
6	0.627907	0.662791	0.401235	0.487654
7	0.349398	0.457831	0.493976	0.578313
8	0.29108	0.422535	0.446009	0.620915
9	1	1	0.294118	0.294118
10	0.485149	0.490099	0.514851	0.549505
11	0.268456	0.268456	0.272109	0.369748
12	0.567308	0.625	0.807692	0.903846
13	0.391304	0.405797	0.589286	0.565217
14	1	1	1	1
15	0.0853081	0.165605	0.299363	0.343949
16	0.408759	0.419708	0.474453	0.626016
17	1	0.969697	0.969697	0.969697
18	0.818182	0.863636	0.886364	0.886364
19	0.208333	0.208333	0.208333	0.25
