t	8/20	7/20	6/20	5/20
0	0.626582	0.664557	0.664557	0.670886
1	0.737864	0.847619	0.8	0.869231
2	0.728682	0.816667	0.825	0.908333
3	0.711864	0.779661	0.79661	0.509259
4	0.701031	0.701031	0.783505	0.745098
5	0.731183	0.893617	1	0.831858
6	0.8125	0.854167	1	1
7	0.865385	0.916667	0.980769	1
8	0.836735	0.836735	0.677686	0.741935
9	0.597015	0.597015	0.583942	0.894231
10	0.780702	0.807018	0.894737	0.964912
11	0.804878	1	0.857143	0.701923
12	0.752809	0.808989	0.84375	0.932039
13	0.650407	0.679688	0.806723	0.834783
14	0.847619	0.866667	0.764706	0.789916
15	0.863309	0.8	0.883871	0.922581
16	0.684211	0.676829	0.859756	0.89697
17	0.957447	1	1	1
18	0.891304	0.414141	0.494949	0.627451
19	0.75	0.734375	0.75	0.90625
