t	8/20	7/20	6/20	5/20
0	0.253521	0.338028	0.361502	0.944444
1	0.409091	0.596026	0.655629	0.650602
2	0.518987	0.582278	0.746835	0.78481
3	0.983333	1	1	1
4	1	1	1	1
5	0.131579	0.157895	0.608108	0.824324
6	0.108434	0.259259	0.300885	0.327434
7	0.0426357	0.916667	1	0.06639
8	0.184049	0.680412	0.721649	0.569106
9	1	1	0.153846	0.153846
10	1	1	0.223164	0.234463
11	0.149425	0.789474	0.789474	0.535714
12	0.272727	0.272727	0.789474	0.789474
13	1	1	1	1
14	0.537415	0.540881	0.666667	0.768116
15	1	1	1	1
16	0.534091	0.715909	0.863636	1
17	0.304167	1	1	1
18	0.181034	0.647059	0.705882	0.852941
19	0.23913	0.417582	0.516484	0.626374
