t	8/20	7/20	6/20	5/20
0	0.723214	0.77439	0.779661	0.779661
1	0.613636	0.572368	0.494792	0.578125
2	0.709877	0.570755	0.761006	0.728916
3	0.538835	0.617801	0.701571	0.764398
4	0.887097	0.261905	0.345912	0.345912
5	0.503759	0.531915	0.608696	0.732283
6	0.538462	0.525362	0.577206	0.893939
7	0.753191	0.647687	0.70632	0.728625
8	0.830389	0.879859	0.939929	0.939929
9	0.274038	0.269406	0.486301	0.623288
10	0.772472	0.820225	0.876106	0.876106
11	0.769231	0.793103	1	0.825688
12	0.864035	0.947368	1	1
13	0.785185	0.69375	0.95082	0.859259
14	0.623134	0.568254	0.722433	0.613772
15	0.626214	0.715818	0.768156	0.751309
16	0.723831	0.776498	0.806452	0.891041
17	0.641176	0.831169	0.896104	0.974026
18	0.673913	0.612121	0.754717	0.689266
19	0.689266	0.598131	0.728723	0.703518
