t	8/20	7/20	6/20	5/20
0	0.945946	0.714286	0.660377	0.415094
1	1	0.521739	0.230769	0.666667
2	0.5	0.586207	0.708333	0.708333
3	1	1	1	0.451923
4	0.40625	0.421875	0.321429	0.368421
5	1	0.301887	0.444444	0.172043
6	1	1	1	0.272727
7	1.41176	0.705882	0.735294	0.306122
8	0.989796	0.809917	0.875	0.75
9	1.55556	0.538462	0.615385	0.540984
10	1	0.621622	0.613333	0.433962
11	0.375	0.535714	0.37037	1.26667
12	0.753731	0.789062	0.687075	0.736111
13	0.54	1	1	0.767123
14	1.04839	0.916667	0.916667	0.543307
15	1.14634	0.602564	0.394958	0.298137
16	0.84507	0.84507	0.5	0.901408
17	2.06061	0.906667	1	1
18	0.402597	0.72093	0.72093	0.43662
19	0.333333	0.425	0.204819	0.183673
