ik	2	3	4	6
8/20	0.4	0.833333	1.3125	1.12727
7/20	0.5	1.17391	1.29412	1.15789
6/20	0.4375	1.07407	1.31429	1.07692
5/20	0.9	0.939394	1.2973	1.25
