t	 Tree_Partition	 METIS_Recursive	 METIS_Kway	 KaFFPa
1	28	0.54902	0.54902	0.54902
2	14	1	1	0.736842
3	18	0.514286	0.692308	0.6
4	55	0.964912	0.753425	0.597826
5	29	0.725	0.58	0.674419
6	21	0.84	0.84	0.583333
7	21	0.583333	0.583333	0.411765
8	16	0.326531	0.470588	0.285714
9	98	0.748092	0.875	0.907407
10	35	0.7	0.7	0.564516
11	59	0.621053	0.776316	0.728395
12	31	0.3875	0.134199	0.563636
13	106	0.981481	0.379928	0.938053
14	53	0.946429	0.981481	0.981481
15	73	0.737374	0.34434	0.695238
16	48	0.842105	0.842105	0.4
17	77	0.9625	0.9625	0.9625
18	69	1	1	0.492857
19	40	0.512821	0.571429	0.677966
20	15	0.1875	0.405405	0.174419
21	54	0.830769	0.931034	0.931034
22	49	0.753846	0.790323	0.777778
23	27	0.710526	0.72973	0.586957
24	36	0.439024	0.455696	0.6
25	54	0.794118	0.794118	0.574468
26	46	0.884615	0.560976	0.884615
27	17	0.944444	0.944444	0.73913
28	63	0.677419	0.7875	0.677419
29	21	0.403846	0.0967742	0.368421
30	44	0.785714	0.897959	0.956522
31	28	0.518519	0.903226	0.466667
32	49	0.710145	0.731343	0.765625
33	23	0.323944	0.181102	0.469388
34	64	0.771084	0.771084	0.771084
35	54	0.519231	0.380282	0.710526
36	66	0.776471	0.364641	0.680412
37	82	1.10811	0.931818	0.931818
38	9	0.391304	0.0520231	0.333333
39	29	0.491525	0.828571	0.644444
40	79	0.806122	0.51634	0.617188
41	38	0.926829	1	0.678571
42	35	0.57377	0.583333	0.853659
43	20	1.66667	0.740741	1
44	36	0.486486	0.692308	0.692308
45	18	0.545455	0.947368	0.222222
46	89	0.760684	1	0.816514
47	45	0.714286	0.173745	0.584416
48	29	0.630435	0.690476	0.5
49	20	0.5	0.5	0.30303
50	78	0.735849	0.320988	0.629032
