t	 Tree_Partition	 METIS_Recursive	 METIS_Kway	 KaFFPa
1	23	0.469388	0.469388	0.469388
2	12	1	1	1
3	17	1	1	1
4	47	1	0.175373	0.783333
5	34	0.566667	0.566667	0.653846
6	16	1	1	1
7	9	1	1	1
8	15	0.46875	0.46875	0.46875
9	83	1	0.768519	1
10	26	0.742857	0.787879	0.787879
11	46	0.630137	0.730159	1
12	34	0.596491	0.607143	0.596491
13	105	0.929204	0.929204	0.913043
14	51	0.910714	0.784615	0.56044
15	81	0.987805	0.771429	0.786408
16	59	0.797297	0.7375	0.951613
17	71	0.922078	0.922078	0.8875
18	69	0.704082	0.261364	0.821429
19	31	0.704545	1	1
20	10	0.588235	0.0549451	0.243902
21	47	0.903846	0.903846	1
22	34	0.515152	0.971429	0.557377
23	20	1	0.555556	0.909091
24	37	1.12121	0.74	0.74
25	34	0.871795	0.19883	0.708333
26	43	0.573333	0.140065	1
27	14	1	1	1
28	64	0.666667	0.752941	0.752941
29	19	1	1	0.256757
30	44	1	1	1
31	21	1	1	1
32	41	0.745455	0.953488	0.683333
33	18	0.36	0.642857	0.24
34	64	0.8	0.927536	0.914286
35	59	1.09259	0.263393	0.867647
36	67	0.705263	0.426752	0.752809
37	62	0.837838	0.584906	0.911765
38	8	1	1	1
39	35	1	0.744681	0.432099
40	53	1	1	0.80303
41	33	0.673469	0.673469	0.916667
42	27	0.658537	0.72973	0.369863
43	12	1	1	1
44	34	0.607143	0.944444	1
45	16	0.842105	1	1
46	66	0.55	1	0.616822
47	53	0.646341	0.280423	0.854839
48	25	0.675676	0.675676	0.520833
49	8	1	1	1
50	70	1	0.366492	0.625
