t	3	4	5	6	8	10
1	555		2044		2578		2150		1302		476	
2	595		2261		2601		2440		1419		427	
3	490		1819		2146		2001		1267		401	
4	406		1632		1908		1665		1136		476	
5	618		2266		2537		2299		1478		617	
6	437		1899		2003		1907		1345		555	
7	509		2135		2204		1879		1021		577	
8	439		1501		1723		1459		775		354	
9	447		1572		1732		1542		835		402	
10	503		1831		1995		1756		986		436	
11	648		2362		2542		2391		1258		559	
12	685		3050		3445		3178		1591		647	
13	564		1827		2036		1809		964		386	
14	521		1891		1893		1688		916		439	
15	467		1666		1802		1536		919		379	
16	429		1567		1531		1459		836		368	
17	472		1750		1686		1782		993		335	
18	507		1836		2349		1792		992		367	
19	518		1833		2281		1866		959		363	
20	383		1307		1598		1280		705		263	
