t	3	4	5	6	8	10
1	127		73		50		32		15		29	
2	130		103		91		114		65		26	
3	129		104		72		35		14		28	
4	130		85		50		49		18		20	
5	129		80		39		41		23		33	
6	127		123		100		120		118		47	
7	128		86		84		58		29		22	
8	128		97		42		45		13		5	
9	129		45		67		34		49		16	
10	128		85		37		20		57		26	
11	129		103		67		42		14		5	
12	133		65		81		28		36		9	
13	130		65		37		35		37		24	
14	131		85		75		64		20		56	
15	131		77		54		19		12		14	
16	127		82		53		41		16		17	
17	132		105		68		42		14		9	
18	129		90		82		80		41		45	
19	129		85		73		39		35		15	
20	130		66		41		44		29		35	
