t	8/20	7/20	6/20	5/20
0	1.49931	1.45177	1.4491	1.52734
1	1.47147	1.47121	1.4733	1.51197
2	1.466	1.466	1.466	1.45044
3	1.52069	1.50214	1.50487	1.51917
4	1.5353	1.49595	1.50441	1.53635
5	1.49607	1.46651	1.46685	1.47299
6	1.55724	1.46769	1.48813	1.49093
7	1.26606	1.29793	1.369	1.36031
8	1.52283	1.54235	1.5922	1.56985
9	1.35959	1.35432	1.53609	1.52406
