t	8/20	7/20	6/20	5/20
0	1.04619	1.10412	1.15579	1.20113
1	1.05113	1.07631	1.05831	1.13654
2	1.10526	1.17553	1.13858	1.18156
3	1.32868	1.1788	1.15612	1.25164
4	1.17483	1.17111	1.19875	1.2283
5	1.21946	1.12196	1.15122	1.17024
6	1.1119	1.17638	1.17326	1.26232
7	1.26619	1.2235	1.1628	1.18265
8	1.2877	1.19829	1.21507	1.26952
9	1.21258	1.21856	1.17866	1.19808
