t	8/20	7/20	6/20	5/20
0	1.34408	1.34245	1.32677	1.33392
1	1.31733	1.3571	1.33514	1.32526
2	1.35773	1.31519	1.35747	1.34087
3	1.37069	1.33898	1.39291	1.37332
4	1.38115	1.35991	1.36782	1.30712
5	1.24156	1.37917	1.37685	1.35282
6	1.30597	1.32525	1.30792	1.352
7	1.34392	1.33739	1.33417	1.3818
8	1.22649	1.24609	1.26328	1.27963
9	1.20362	1.20041	1.30499	1.23991
