t	8/20	7/20	6/20	5/20
0	0.940103	0.959529	1.01395	1.10714
1	0.859218	0.940936	1.01115	1.04566
2	0.919459	0.983923	1.0323	1.07845
3	1.0856	1.03549	1.08963	1.17056
4	0.95313	1.03853	1.08572	1.15739
5	1.00484	1.06765	1.12221	1.17147
6	1.0078	1.08661	1.13532	1.18566
7	1.02099	0.999107	1.17151	1.20123
8	0.974327	1.00347	1.08269	1.21735
9	0.92748	1.00524	1.05666	1.11202
