t	8/20	7/20	6/20	5/20
0	1.28861	1.22067	1.362	1.36447
1	1.56908	1.44783	1.50423	1.42688
2	1.47931	1.34194	1.38308	1.39695
3	1.4785	1.47599	1.48883	1.4583
4	1.40702	1.35186	1.4638	1.4226
5	1.55581	1.57401	1.46712	1.43588
6	1.52889	1.47286	1.48836	1.39155
7	1.62061	1.43283	1.52551	1.35983
8	1.55841	1.50962	1.47491	1.42113
9	1.48115	1.45256	1.41827	1.40774
