t	8/20	7/20	6/20	5/20
0	1.62669	1.58993	1.58993	1.55552
1	1.5506	1.6039	1.54944	1.5502
2	1.62693	1.57295	1.53325	1.54062
3	1.7127	1.62333	1.67248	1.61128
4	1.7881	1.70006	1.57212	1.56532
5	1.60815	1.66186	1.53873	1.48117
6	1.68791	1.59879	1.53974	1.54761
7	1.40925	1.34168	1.37052	1.42613
8	1.64933	1.66871	1.67607	1.6008
9	1.44762	1.48661	1.58224	1.559
