t	70	80	90	100
0	0.668942	0.645695	0.664452	0.689655
1	0.745763	0.715447	0.829596	0.741525
2	0.369863	0.853659	0.795455	0.880503
3	0.668605	0.515284	0.838028	0.896296
4	0.645631	0.674877	0.715789	0.705521
5	0.526971	0.419558	0.651163	0.805195
6	0.875	0.754011	0.760204	0.755102
7	0.69338	0.822314	1	0.878788
8	0.7	0.915152	0.955696	0.966443
9	0.581897	0.673171	0.877301	0.552124
10	0.659091	0.690476	0.695455	0.645022
11	0.852349	0.75	0.625	0.626667
12	0.738318	0.670635	0.923497	0.727273
13	0.585714	0.621212	0.661538	0.619658
14	0.773148	0.847716	0.755656	0.825
15	0.619205	0.736626	0.711268	0.675676
16	0.667857	0.613115	0.782443	0.779468
17	0.477099	0.572093	0.62605	0.745763
18	0.703226	0.756098	0.746667	0.795918
19	0.524096	0.6	0.643411	0.656934
