t	3	4	5	6	8	10
1	280		744		1350		1623		1168		413	
2	306		774		1458		1675		1227		432	
3	281		822		1411		1561		1197		430	
4	313		939		1469		1572		1197		417	
5	316		931		1310		1644		1203		421	
6	250		899		1325		1611		1170		422	
7	336		902		1273		1617		1196		417	
8	339		925		1449		1558		1175		428	
9	288		836		1471		1644		1219		421	
10	300		810		1384		1574		1184		426	
11	300		792		1402		1732		1189		422	
12	248		768		1543		1737		1209		418	
13	260		794		1458		1830		1210		431	
14	256		803		1474		1605		1156		424	
15	268		771		1451		1460		1185		426	
16	245		803		1340		1455		1131		411	
17	256		810		1614		1416		1178		423	
18	257		814		1604		1402		1218		420	
19	256		770		1557		1431		1168		428	
20	261		807		1519		1480		1163		423	
