t	7/20	3/10	5/20	2/10
1	12		20		41		53	
2	13		25		52		74	
3	31		69		154		343	
4	15		26		53		66	
5	6		10		17		24	
6	15		22		36		45	
7	7		11		19		24	
8	32		52		126		299	
9	18		21		40		51	
10	15		31		73		133	
11	14		21		40		53	
12	10		15		28		37	
13	9		12		22		29	
14	44		111		269		771	
15	5		13		18		41	
16	11		21		38		55	
17	11		16		25		32	
18	20		38		52		73	
19	9		20		24		31	
20	25		47		157		329	
