t	 Tree_Partition	 METIS_Recursive	 METIS_Kway	 KaFFPa
1	86	0.551282	1	0.86
2	51	0.6375	1	1
3	56	0.727273	0.245614	0.788732
4	29	0.527273	0.690476	0.690476
5	41	0.602941	0.602941	0.585714
6	42	0.636364	0.636364	0.636364
7	48	0.592593	0.615385	0.578313
8	111	0.834586	0.828358	0.895161
9	49	0.680556	1	1
10	53	0.630952	0.828125	0.716216
11	59	0.797297	0.797297	0.578431
12	40	0.555556	0.655738	0.8
13	48	1	1	0.979592
14	43	0.589041	0.136076	0.934783
15	78	0.928571	0.928571	0.928571
16	97	0.751938	0.751938	0.822034
17	52	0.382353	0.825397	0.881356
18	42	0.976744	0.976744	0.976744
19	12	0.292683	0.292683	1
20	42	0.666667	0.75	1
21	41	0.683333	0.683333	0.773585
22	37	0.755102	0.755102	0.660714
23	60	0.882353	0.882353	0.458015
24	72	0.605042	0.382979	0.857143
25	79	0.897727	0.533784	0.897727
26	13	0.464286	0.464286	1
27	17	1	0.809524	0.708333
28	53	0.815385	0.815385	0.828125
29	101	0.647436	0.647436	0.701389
30	14	1	1	0.264151
31	43	0.483146	0.483146	0.483146
32	96	0.806723	0.820513	0.780488
33	89	0.927083	0.927083	0.927083
34	48	0.786885	0.8	0.842105
35	32	0.4	0.463768	1
36	45	0.483871	0.616438	0.681818
37	44	0.392857	0.473118	0.411215
38	63	0.477273	0.715909	0.484615
39	56	0.358974	0.168675	0.411765
40	73	0.793478	1	0.608333
41	89	0.767241	0.809091	0.809091
42	23	0.258427	1	1
43	22	1	1	0.733333
44	77	0.733333	0.939024	0.939024
45	117	0.539171	0.75974	0.806897
46	63	0.552632	0.851351	0.577982
47	74	0.666667	0.831461	0.685185
48	41	0.602941	0.602941	0.602941
49	41	0.569444	0.836735	1
50	38	0.513514	0.690909	0.730769
