t	 Tree_Partition	 METIS_Recursive	 METIS_Kway	 KaFFPa
1	105	0.596591	0.596591	0.558511
2	85	0.431472	0.634328	0.653846
3	76	1	0.767677	0.808511
4	51	0.573034	0.62963	0.864407
5	75	0.728155	0.78125	0.773196
6	71	0.525926	0.70297	0.763441
7	82	0.719298	0.719298	0.854167
8	143	0.781421	0.772973	0.715
9	82	0.766355	0.656	0.766355
10	80	0.747664	0.714286	0.888889
11	79	0.612403	0.692982	0.692982
12	66	0.916667	0.776471	1
13	51	0.268421	0.418033	0.73913
14	86	0.547771	0.661538	0.761062
15	91	0.64539	0.640845	0.892157
16	131	0.579646	0.845161	0.879195
17	111	0.620112	0.816176	0.816176
18	46	0.621622	0.178988	0.978723
19	39	0.433333	0.493671	0.75
20	56	0.682927	0.717949	1
21	72	0.553846	0.672897	0.672897
22	49	0.494949	0.494949	0.765625
23	74	0.747475	0.747475	0.573643
24	93	0.815789	0.801724	0.815789
25	88	0.52381	0.55	1
26	30	0.4	0.394737	0.535714
27	23	0.884615	0.589744	0.884615
28	68	0.618182	0.781609	0.85
29	147	0.517606	0.683721	0.864706
30	34	0.326923	0.68	0.871795
31	90	0.508475	0.573248	0.849057
32	124	0.626263	0.815789	0.879433
33	107	0.648485	0.884298	0.884298
34	61	0.530435	0.813333	0.813333
35	56	0.5	0.875	0.518519
36	74	0.61157	0.74	0.787234
37	100	0.793651	0.793651	0.806452
38	146	0.9125	0.9125	0.993197
39	133	0.820988	0.977941	0.768786
40	118	1	0.808219	0.880597
41	119	0.7	0.777778	0.894737
42	29	0.439394	0.341176	0.557692
43	32	0.864865	0.727273	1
44	89	0.585526	0.566879	0.664179
45	146	0.637555	0.651786	0.890244
46	78	0.866667	0.866667	1
47	118	0.719512	0.855072	1
48	72	0.537313	0.847059	0.699029
49	53	0.883333	0.883333	1
50	83	0.592857	0.474286	0.70339
