t	2	3	4	5	7	9
1	133		135		86		93		74		66	
2	127		118		159		129		128		71	
3	186		101		81		88		37		42	
4	126		159		70		75		82		66	
5	103		104		87		79		78		116	
6	184		173		78		90		62		40	
7	121		94		78		76		71		67	
8	124		109		80		76		77		75	
9	113		91		110		92		75		65	
10	173		106		85		67		55		54	
11	179		80		116		108		77		49	
12	180		81		69		64		73		80	
13	179		166		132		115		120		114	
14	169		95		83		94		79		80	
15	156		120		85		95		62		49	
16	164		158		98		94		84		96	
17	125		146		71		78		71		51	
18	186		96		77		84		73		74	
19	123		102		78		64		70		63	
20	129		93		79		74		82		85	
