ik	2	3	4	6
8/20	0.892981	1.57691	1.72579	1.59376
7/20	1.03456	1.71118	1.63505	1.5751
6/20	1.07713	1.70328	1.73888	1.5788
5/20	1.11274	1.76791	1.68477	1.54618
