t	3	4	5	6	8	10
1	128		84		46		44		24		18	
2	130		72		38		29		13		17	
3	129		77		36		25		14		17	
4	131		73		36		24		15		17	
5	128		70		36		24		15		17	
6	127		74		36		24		14		17	
7	128		70		36		24		14		17	
8	128		74		42		37		13		17	
9	129		73		36		37		13		17	
10	128		74		36		24		13		16	
11	141		75		36		24		14		16	
12	137		73		37		24		13		16	
13	135		73		36		24		15		17	
14	141		73		38		24		17		17	
15	133		71		46		25		20		17	
16	129		70		36		25		20		17	
17	134		72		35		26		19		17	
18	137		70		36		24		14		17	
19	135		71		36		33		14		16	
20	136		74		37		25		15		17	
