t	8/20	7/20	6/20	5/20
0	1.54821	1.51165	1.52556	1.65671
1	1.69036	1.55261	1.59523	1.54337
2	1.66061	1.66061	1.6179	1.6478
3	1.65127	1.67015	1.66319	1.75925
4	1.65282	1.76499	1.6987	1.74261
5	1.68844	1.65533	1.67144	1.64205
6	1.52386	1.63336	1.62571	1.65365
7	1.59014	1.67428	1.66565	1.71573
8	1.73296	1.7565	1.74434	1.76442
9	1.61562	1.45136	1.6284	1.65786
