t	8/20	7/20	6/20	5/20
0	1.41583	1.54568	1.44025	1.45778
1	1.58641	1.57845	1.47483	1.48041
2	1.46551	1.57378	1.57557	1.57691
3	1.52526	1.56927	1.54862	1.75412
4	1.63442	1.49764	1.48669	1.59866
5	1.42794	1.56622	1.42282	1.47892
6	1.48704	1.44052	1.5049	1.51034
7	1.35342	1.44438	1.37925	1.46591
8	1.52449	1.53201	1.4091	1.54999
9	1.51957	1.57634	1.4741	1.58863
