t	8/20	7/20	6/20	5/20
0	1.55789	1.49817	1.45519	1.48061
1	1.15954	1.33055	1.24361	1.18472
2	1.37295	1.38326	1.33298	1.3838
3	1.53568	1.34989	1.36522	1.35021
4	1.32546	1.3434	1.30543	1.3128
5	1.19407	1.30863	1.24173	1.21575
6	1.46856	1.39141	1.35664	1.34519
7	1.46654	1.39784	1.38781	1.44944
8	1.42973	1.52865	1.36649	1.40795
9	1.46953	1.48826	1.46314	1.46458
