t	8/20	7/20	6/20	5/20
0	1.59437	1.56353	1.40602	1.43038
1	1.25469	1.35742	1.27259	1.17954
2	1.54104	1.54463	1.43456	1.30951
3	1.48728	1.48728	1.34747	1.2979
4	1.45461	1.39625	1.26006	1.23009
5	1.41588	1.39849	1.2847	1.24636
6	1.55909	1.58301	1.35655	1.31459
7	1.57073	1.45854	1.42646	1.39806
8	1.55313	1.5743	1.44687	1.36255
9	1.59454	1.59454	1.42193	1.3947
