t	8/20	7/20	6/20	5/20
0	1.33542	1.32969	1.34453	1.39072
1	1.32397	1.31524	1.36827	1.38107
2	1.27522	1.29124	1.31691	1.36735
3	1.2865	1.27263	1.34117	1.3799
4	1.28625	1.28903	1.30603	1.29725
5	1.26791	1.29154	1.31744	1.35831
6	1.30382	1.25134	1.2928	1.36741
7	1.23094	1.24428	1.26959	1.33747
8	1.26585	1.33764	1.30401	1.33761
9	1.42135	1.37135	1.38315	1.40421
