t	3	4	5	6	8	10
1	178		512		989		1326		958		409	
2	200		585		980		1135		932		364	
3	177		483		911		1056		838		340	
4	136		386		803		988		783		338	
5	234		652		1089		1429		1092		434	
6	161		485		860		1075		980		376	
7	164		525		927		1104		854		374	
8	172		420		721		838		627		258	
9	169		439		721		927		670		279	
10	195		508		823		1030		805		335	
11	244		634		1078		1345		983		387	
12	240		696		1250		1563		1205		453	
13	214		547		861		1046		789		309	
14	190		513		842		962		758		302	
15	180		474		752		922		713		280	
16	144		400		657		839		655		285	
17	177		471		780		900		722		280	
18	181		496		840		1007		783		317	
19	197		542		824		1019		798		309	
20	144		406		618		715		590		231	
