t	8/20	7/20	6/20	5/20
0	0.104803	0.107759	0.3875	0.4
1	0.0841121	0.176471	0.333333	0.5
2	0.140845	0.328125	0.328125	0.328125
3	1	1	0.15	0.16
4	1	1	1	1
5	1	1	1	1
6	0.119403	0.0807175	0.171171	1
7	0.571429	0.630952	0.690476	0.714286
8	0.677419	0.229358	0.117371	0.805556
9	1	0.0989011	0.131868	0.466667
10	0.310606	0.891304	0.891304	1
11	0.152941	0.722222	0.152941	0.152941
12	0.423077	0.519231	1	1
13	0.0824176	0.615385	0.642857	0.769231
14	1	0.438202	0.854167	0.517647
15	1	1	1	0.233871
16	0.780488	1	1	1
17	1	1	1	0.0786517
18	1	1	0.0463576	0.0348259
19	1	0.5	0.9	1
