t	8/20	7/20	6/20	5/20
0	0.4375	0.412371	0.633333	0.753333
1	1	1	1	0.0666667
2	0.885714	1	0.711111	0.888889
3	0.629032	0.629032	0.629032	0.327731
4	0.636364	1	1	1
5	1	1	1	1
6	0.666667	0.703704	0.802469	0.975309
7	0.432836	0.567164	0.61194	0.716418
8	0.645833	0.559006	0.590062	0.590062
9	1	0.117647	0.294118	0.294118
10	0.695035	0.702128	0.737589	0.760274
11	0.930233	0.645161	0.555556	0.611111
12	0.491667	0.656566	0.965517	0.903846
13	0.55102	0.56	0.66	0.78
14	1	1	1	1
15	0.339623	0.490566	0.886792	0.442623
16	0.557214	0.473251	0.534979	0.633745
17	1	1	1	0.969697
18	1	0.542857	0.95122	0.513158
19	1	1	1	0.461538
