t	8/20	7/20	6/20	5/20
0	0.710526	0.8	0.855556	0.944444
1	0.648	0.72	0.792	0.715232
2	0.518987	0.582278	0.746835	0.78481
3	0.983333	1	0.882353	0.941176
4	1	1	1	1
5	1	0.75	0.803571	0.709302
6	0.111111	0.617647	0.409639	0.445783
7	1	0.916667	1	0.64
8	0.540541	0.956522	0.736842	0.736842
9	1	1	1	1
10	1	1	0.951807	1
11	0.702703	0.789474	0.789474	0.789474
12	1	1	1	0.625
13	1	1	1	1
14	0.585185	0.637037	0.608696	0.658385
15	1	1	1	1
16	0.534091	0.715909	0.863636	1
17	1	1	1	1
18	1	0.647059	0.705882	0.852941
19	0.392857	0.542857	0.559524	0.678571
