t	8/20	7/20	6/20	5/20
0	1	1	0.285714	0.285714
1	1	1	0.428571	0.428571
2	1	1	0.1875	0.272727
3	0.230263	1	1	1
4	1	0.315789	0.315789	0.315789
5	1	1	1	0.47619
6	0.0328638	1	1	0.777778
7	1	1	1	0.6
8	0.203593	0.609375	0.52439	0.859375
9	1	1	1	0.153846
10	0.0970149	0.565217	0.571429	0.627451
11	0.0263158	0.5	0.5	0.964286
12	0.231061	1	1	1
13	0.0542636	0.333333	0.456522	0.521739
14	0.821429	0.839286	0.681159	0.681159
15	0.482759	0.482759	0.482759	0.482759
16	1	1	0.604651	0.604651
17	1	1	1	0.969697
18	0.0754717	0.645161	0.774194	0.685714
19	1	1	1	0.384615
