t	8/20	7/20	6/20	5/20
0	0.619469	0.506329	0.688406	0.653179
1	1	1	0.0909091	0.0909091
2	0.688889	0.688889	0.711111	0.888889
3	0.333333	0.333333	0.527027	0.527027
4	1	0.211538	0.211538	1
5	1	1	1	0.625
6	0.666667	0.703704	0.619048	0.975309
7	0.42029	0.550725	0.630769	0.738462
8	0.405229	0.588235	0.620915	0.620915
9	1	1	0.0793651	0.0793651
10	0.524064	0.529412	0.55615	0.593583
11	0.555556	0.36036	0.36036	0.396396
12	0.450382	0.496183	0.807692	0.903846
13	0.156069	0.459016	0.589286	0.78
14	1	1	1	1
15	0.185567	0.154762	0.385246	0.473684
16	0.460905	0.487288	0.534979	0.626016
17	1	1	1	0.969697
18	1	0.863636	0.886364	0.886364
19	1	1	1	0.25
