t	8/20	7/20	6/20	5/20
0	0.553191	0.611765	0.595745	0.585859
1	0.605263	0.575	0.469388	0.605263
2	0.612903	0.6	0.677419	0.591549
3	0.795455	0.840909	0.901515	0.866197
4	0.445378	0.458333	0.507937	0.579832
5	0.553846	0.391304	0.553846	0.676923
6	0.4	0.585366	0.615385	0.648352
7	0.886364	0.735849	1	0.814815
8	0.761628	0.924138	0.813953	0.965517
9	0.569767	0.612903	0.701149	0.75
10	0.920455	0.653226	0.565517	0.926316
11	0.763889	0.658824	0.819444	0.662921
12	0.820225	0.812834	0.938202	0.977528
13	0.647619	0.842697	0.707965	0.988764
14	0.653595	0.687898	0.794521	0.815789
15	0.541353	0.483221	0.752577	0.631579
16	0.713115	0.74359	0.771186	0.90678
17	0.510791	0.569343	0.666667	0.791667
18	0.7	0.785714	0.914286	0.942857
19	0.654762	0.755814	0.767442	0.848837
