t	8/20	7/20	6/20	5/20
0	0.391304	0.757895	0.810526	0.615942
1	0.457627	0.508475	0.559322	0.610169
2	0.518987	0.582278	0.746835	0.78481
3	0.983333	1	0.5	0.941176
4	1	1	0.594059	0.594059
5	0.360825	0.43299	0.517241	0.628866
6	0.111111	0.259259	0.409639	0.445783
7	0.647059	0.22449	0.285714	0.380952
8	0.465116	0.478261	0.507246	0.518519
9	0.0588235	0.0769231	0.0769231	0.0769231
10	0.690909	0.690909	0.718182	0.48538
11	0.684211	0.535714	0.46875	0.535714
12	0.789474	0.789474	0.789474	0.789474
13	1	1	1	1
14	0.434066	0.472527	0.538462	0.582418
15	1	1	1	1
16	0.412281	0.552632	0.666667	0.77193
17	0.669725	0.669725	0.669725	0.669725
18	0.617647	0.647059	0.705882	0.386667
19	0.354839	0.408602	0.516484	0.612903
