t	8/20	7/20	6/20	5/20
0	0.3	0.3125	0.3875	0.275862
1	0.166667	0.166667	0.238806	0.402985
2	0.3125	0.328125	0.328125	0.259259
3	0.15	0.15	0.15	0.16
4	1	1	1	0.28
5	0.684211	0.684211	0.684211	0.684211
6	0.533333	0.545455	0.633333	1
7	0.571429	0.504762	0.552381	0.571429
8	0.477273	0.568182	0.568182	0.805556
9	0.0833333	0.25	0.333333	0.388889
10	0.891304	0.891304	0.621212	0.69697
11	0.382353	0.382353	0.371429	0.371429
12	0.758621	0.931034	1	1
13	0.258621	0.5	0.545455	0.416667
14	0.75	0.557143	0.585714	0.611111
15	0.695122	0.695122	0.695122	0.707317
16	0.780488	1	1	1
17	1	1	0.285714	0.5
18	1	1	0.125	0.125
19	0.15625	0.15625	0.28125	0.3125
