t	 Tree_Partition	 METIS_Recursive	 METIS_Kway	 KaFFPa
1	133	0.707447	0.703704	0.707447
2	173	0.569079	0.582492	0.765487
3	93	0.664286	0.330961	0.845455
4	126	0.893617	0.893617	0.715909
5	122	0.859155	0.859155	0.968254
6	144	0.742268	0.742268	0.734694
7	90	1.02273	0.350195	1
8	17	1	1	1
9	130	0.684211	0.792683	0.792683
10	56	0.589474	0.256881	0.622222
11	164	0.97619	0.97619	0.97619
12	39	1	1	1
13	32	0.405063	0.405063	0.323232
14	20	0.25974	0.222222	0.25974
15	186	0.805195	0.490765	0.865116
16	31	1	1	1
17	118	1.03509	0.220561	0.771242
18	121	0.806667	0.864286	0.840278
19	34	0.459459	1	0.68
20	97	0.757812	0.889908	0.580838
21	253	0.462523	0.630923	0.834983
22	46	0.597403	0.45098	0.630137
23	21	1	1	1
24	57	0.337278	0.407143	0.678571
25	81	1.0125	0.424084	0.618321
26	112	0.727273	0.973913	0.767123
27	83	0.601449	1	1
28	101	0.721429	0.627329	0.885965
29	50	1	1	1
30	101	0.469767	0.526042	0.564246
31	90	0.6	0.25	0.743802
32	127	1	1	1
33	79	0.718182	0.603053	0.718182
34	92	1	1	1
35	71	1	1	0.747368
36	129	0.914894	0.291196	0.832258
37	119	0.809524	0.832168	0.5
38	26	0.313253	0.366197	1.625
39	39	0.274648	0.438202	0.330508
40	137	0.587983	0.587983	0.691919
41	165	1	1	1
42	91	0.64539	0.23822	0.64539
43	38	1	1	1
44	76	0.672566	0.690909	0.730769
45	86	0.585034	0.186147	0.788991
46	85	1.03659	0.508982	0.904255
47	57	1	1	1
48	36	0.705882	0.705882	0.705882
49	136	0.855346	0.855346	0.931507
50	145	0.575397	0.58	0.805556
