t	 Tree_Partition	 METIS_Recursive	 METIS_Kway	 KaFFPa
1	144	0.734694	0.9	0.9
2	206	0.507389	0.673203	0.686667
3	99	0.66443	0.66443	0.853448
4	107	0.835938	0.625731	0.835938
5	117	0.823944	0.823944	0.680233
6	146	0.768421	0.874251	0.874251
7	90	0.927835	1	1
8	17	1	1	1
9	143	0.680952	0.358396	0.841176
10	86	0.565789	0.614286	0.851485
11	168	0.643678	0.861538	1
12	39	1	1	1
13	61	0.7625	0.835616	0.792208
14	32	0.275862	0.344086	0.313725
15	196	0.731343	0.75969	0.915888
16	31	0.360465	0.373494	1
17	124	1.08772	0.96875	0.867133
18	132	0.916667	0.916667	0.916667
19	37	0.420455	0.234177	0.5
20	108	0.915254	0.310345	0.788321
21	280	0.545809	0.806916	0.629213
22	74	0.627119	0.627119	0.91358
23	21	0.466667	0.954545	1
24	59	0.359756	0.443609	0.561905
25	91	0.771186	0.47644	0.640845
26	115	0.751634	0.793103	0.771812
27	83	0.83	0.912088	1
28	118	0.842857	0.732919	0.732919
29	50	0.714286	1	1
30	115	0.621622	0.310811	0.642458
31	81	1	1	1
32	132	0.694737	0.874172	0.90411
33	89	0.454082	0.644928	0.760684
34	92	1	0.786325	0.676471
35	71	1	0.266917	0.835294
36	160	0.80402	0.914286	0.914286
37	126	0.626866	0.845638	0.845638
38	16	0.222222	0.0521173	1
39	44	0.419048	0.556962	0.556962
40	145	0.549242	0.617021	0.732323
41	126	0.763636	0.763636	0.763636
42	101	0.58046	0.627329	0.716312
43	38	0.77551	0.262069	0.77551
44	72	0.66055	0.837209	0.86747
45	86	0.851485	0.267913	0.788991
46	94	0.606452	0.854545	0.854545
47	65	0.503876	0.560345	0.565217
48	42	0.228261	0.330709	0.677419
49	159	1	1	1
50	158	0.714932	0.868132	0.759615
