t	8/20	7/20	6/20	5/20
0	2.51334	2.36988	2.26123	2.14946
1	1.85778	1.9629	2.24175	2.19264
2	1.83342	1.84624	1.83342	2.08863
3	2.53226	2.45764	2.4103	2.37315
4	1.94559	2.09038	2.00827	2.17366
5	1.91566	2.14655	1.97736	2.02495
6	2.34131	2.24523	2.24089	2.21942
7	1.81441	1.86736	1.86688	2.0536
8	2.04583	2.12554	2.00787	1.98816
9	2.33532	2.27906	2.20643	2.23881
