t	8/20	7/20	6/20	5/20
0	1.85123	1.75653	1.79631	1.70752
1	1.59206	1.61774	1.56316	1.70724
2	1.42445	1.4836	1.49333	1.4976
3	1.98387	1.92541	1.88832	1.85922
4	1.57824	1.69935	1.75428	1.75428
5	1.35225	1.4944	1.37661	1.40974
6	1.6715	1.60291	1.68397	1.66784
7	1.46534	1.4201	1.49282	1.55771
8	1.83611	1.90765	1.8091	1.7889
9	1.50297	1.63998	1.63939	1.70704
