t	8/20	7/20	6/20	5/20
0	1.38263	1.39132	1.49119	1.49119
1	1.51419	1.51419	1.5128	1.66469
2	1.33567	1.42757	1.44697	1.45111
3	1.64	1.72715	1.72715	1.70508
4	1.39511	1.59354	1.62963	1.62963
5	1.19602	1.34802	1.34802	1.34802
6	1.42435	1.42435	1.49928	1.49928
7	1.31884	1.3513	1.42087	1.45863
8	1.66656	1.66604	1.66604	1.66604
9	1.41545	1.54815	1.59854	1.67693
