t	8/20	7/20	6/20	5/20
0	1.51795	1.46938	1.60826	1.62982
1	1.51465	1.52016	1.55783	1.73953
2	1.26475	1.5974	1.35153	1.46743
3	1.63317	1.70508	1.77404	1.69357
4	1.51	1.45781	1.52035	1.59677
5	1.22417	1.45501	1.36294	1.32533
6	1.6592	1.47429	1.73661	1.52068
7	1.52528	1.38856	1.36818	1.54663
8	1.87784	1.70856	1.71466	1.7889
9	1.38863	1.56303	1.61391	1.69305
