t	8/20	7/20	6/20	5/20
0	1.64241	1.58111	1.57602	1.72483
1	1.60914	1.67405	1.78269	1.85152
2	1.62423	1.67582	1.7132	1.72015
3	1.65849	1.65508	1.70101	1.72483
4	1.66989	1.60261	1.67154	1.74626
5	1.64076	1.60348	1.6991	1.8107
6	1.61714	1.54309	1.64804	1.67529
7	1.60222	1.68862	1.75716	1.74538
8	1.75254	1.79586	1.90169	1.93765
9	1.77456	1.84492	1.88711	1.91727
