t	 Tree_Partition	 METIS_Recursive	 METIS_Kway	 KaFFPa
1	155	0.648536	0.895954	0.547703
2	20	0.188679	0.212766	0.377358
3	92	0.571429	0.867925	0.657143
4	51	0.289773	0.354167	0.593023
5	13	0.764706	0.224138	0.764706
6	53	0.514563	0.630952	1
7	86	0.455026	0.530864	0.462366
8	131	0.552743	0.543568	0.639024
9	224	0.454361	0.817518	0.672673
10	20	1.17647	1	1
11	258	0.512922	0.832258	0.788991
12	110	0.533981	1	0.780142
13	104	0.409449	0.601156	0.608187
14	51	0.451327	0.910714	0.85
15	108	0.521739	0.62069	0.692308
16	86	0.284768	0.409524	0.597222
17	177	0.719512	0.719512	0.683398
18	97	0.573964	0.782258	0.782258
19	91	0.947917	0.947917	1
20	28	0.329412	0.337349	0.378378
21	93	0.560241	0.560241	0.516667
22	144	0.679245	0.679245	0.503497
23	52	1	1	0.852459
24	46	0.589744	0.686567	0.534884
25	55	0.361842	0.361842	0.395683
26	77	0.432584	0.49359	0.631148
27	33	0.434211	0.383721	0.804878
28	90	0.505618	0.604027	0.471204
29	95	0.378486	0.470297	0.659722
30	51	0.408	0.408	0.392308
31	187	0.599359	0.593651	0.78903
32	59	0.236948	0.343023	0.343023
33	154	0.865169	0.865169	0.485804
34	55	0.364238	0.37415	0.395683
35	97	0.400826	0.655405	0.621795
36	170	0.646388	0.955056	0.7173
37	183	0.594156	1	0.61204
38	40	0.645161	0.645161	0.645161
39	97	0.697842	0.697842	0.702899
40	164	0.485207	0.931818	1
41	69	0.346734	0.334951	0.496403
42	169	0.657588	0.572881	0.630597
43	30	0.163043	0.25	0.30303
44	86	0.811321	0.811321	1
45	61	0.544643	0.544643	0.539823
46	214	0.648485	0.91453	0.786765
47	57	0.633333	0.703704	1
48	77	0.52027	0.52027	0.52027
49	86	0.646617	0.646617	0.761062
50	120	0.857143	0.821918	0.666667
