t	 Tree_Partition	 METIS_Recursive	 METIS_Kway	 KaFFPa
1	228	0.841328	0.894118	0.880309
2	113	0.638418	0.965812	0.743421
3	116	0.70303	0.920635	0.816901
4	107	0.594444	0.732877	0.89916
5	60	0.346821	1.09091	1.09091
6	59	0.364198	1	0.670455
7	190	0.808511	0.945274	0.945274
8	190	0.815451	0.852018	0.772358
9	218	0.714754	0.714754	0.726667
10	97	0.881818	0.82906	0.881818
11	248	0.731563	0.696629	0.885714
12	179	0.718876	0.98895	1
13	228	0.674556	0.987013	0.987013
14	106	0.868852	0.913793	0.768116
15	181	0.478836	0.565625	0.603333
16	307	0.727488	0.887283	0.889855
17	325	0.766509	0.806452	0.918079
18	111	0.676829	0.74	0.720779
19	118	0.614583	1	1
20	128	0.603774	0.727273	0.785276
21	214	0.718121	0.990741	0.884298
22	212	0.579235	0.770909	0.770909
23	98	0.485149	0.480392	0.671233
24	90	0.642857	0.72	0.671642
25	206	0.78327	1	1
26	200	0.589971	0.645161	0.636943
27	103	0.660256	0.824	0.824
28	198	0.685121	0.811475	0.725275
29	169	0.728448	0.764706	0.725322
30	62	0.340659	0.529915	0.484375
31	229	0.877395	0.923387	0.930894
32	140	0.76087	0.813953	0.813953
33	192	0.617363	0.786885	0.721805
34	120	0.722892	0.693642	0.714286
35	140	0.472973	0.786517	0.786517
36	206	0.751825	0.932127	0.789272
37	265	0.646341	0.86039	0.85209
38	47	0.309211	0.479592	0.681159
39	96	0.527473	0.554913	0.554913
40	305	0.760599	1	1
41	119	0.468504	0.57767	0.777778
42	248	0.810458	0.832215	0.921933
43	142	0.739583	0.916129	0.916129
44	130	0.562771	0.977444	0.747126
45	157	0.713636	0.912791	0.912791
46	356	0.720648	1	1
47	131	0.626794	0.685864	0.829114
48	149	0.59127	0.56654	0.56015
49	131	0.539095	0.598174	0.696809
50	154	0.719626	0.733333	0.733333
